X,Y
0,9153489
1,9183948
2,9220578
3,9289770
4,9378113
5,9463667
6,9527807
7,9580991
8,9618756
9,9646032
10,9655549
11,9673162
12,9711115
13,9741720
14,9772419
15,9800700
16,9818227
17,9830358
18,9839534
19,9848382
20,9859242
21,9858982
22,9856303
23,9855520
24,9855372
25,9858308
26,9861823
27,9870234
28,9901664
29,9937697
30,9967379
31,10004486
32,10045158
33,10084475
34,10115603
35,10136811
36,10156637
37,10181245
38,10203008
39,10226419
40,10251250
41,10286570
42,10332785
43,10376133
44,10421137
45,10478617
46,10547958
47,10625700
48,10709973
49,10796493
50,10895586
51,11038264
52,11106932
53,11159407
54,11209057
55,11274196
56,11331422
57,11375158
58,11427054
59,11488980
60,11555997
